name,address,city,zip
Station Square Eyes,10720 71st Ave ,New York City,11375
Maximeyes,200 West 24th Street ,New York,10011
Dover Street Market NY,160 Lexington Ave,New York,NY 10016
Line Of Sight,512 W 29th Street,"New York, NY",10001
Robert Marc,400 Madison Avenue,New York City,NY10017
Eyellusion Vision Center,69-09 Roosevelt Avenue,Woodside,11377
Clairmont Nichols NYC,1016 1st Avenue,New York,10022
Eye Associates of New York,"133 E 54th Street, Ste 200",New York,10022
Robert Marc,551 Madison Avenue,New York City,NY10022
Leonard Opticians,24 West 55Th Street,New York City,10019
Cohens Fashion Optical,132 W 57th St,New York,NY 10019
Morgenthal Frederics,The Shoppes@10 Columbus Circle,New York,10019
Felice Dee Eyewear,"1305 York Avenue, 11th Floor","New York, NY",10021
Robert Marc,782 Madison Avenue,New York City,NY10065
Leonard Opticians,1264	Third Avenue,New York City,10021
Robert Marc,190 Columbus Avenue,New York City,NY10023
Morgenthal Frederics,944 Madison Avenue,New York,10021
Visionary Optics,1353 3rd Avenue,New York,10075
Anne Et Valentin,248 Columbus Avenue, New York City,10023
Occhiali New York,1188 Lexington Avenue,New York,10028
Robert Marc,1046 Madison Avenue,New York City, NY10075
Eye Q Optometrist,213 West 79th Street,"Manhattan, New York",10024
Eastern Eye Care,144-15 41st Avenue,"Flushing, NY",11355
